date,jour_ferie
2005-01-01,1
2005-03-28,1
2005-05-01,1
2005-05-05,1
2005-05-08,1
2005-05-16,1
2005-07-14,1
2005-08-15,1
2005-11-01,1
2005-11-11,1
2005-12-25,1
2006-01-01,1
2006-04-17,1
2006-05-01,1
2006-05-08,1
2006-05-25,1
2006-06-05,1
2006-07-14,1
2006-08-15,1
2006-11-01,1
2006-11-11,1
2006-12-25,1
2007-01-01,1
2007-04-09,1
2007-05-01,1
2007-05-08,1
2007-05-17,1
2007-05-28,1
2007-07-14,1
2007-08-15,1
2007-11-01,1
2007-11-11,1
2007-12-25,1
2008-01-01,1
2008-03-24,1
2008-05-01,1
2008-05-01,1
2008-05-08,1
2008-05-12,1
2008-07-14,1
2008-08-15,1
2008-11-01,1
2008-11-11,1
2008-12-25,1
2009-01-01,1
2009-04-13,1
2009-05-01,1
2009-05-08,1
2009-05-21,1
2009-06-01,1
2009-07-14,1
2009-08-15,1
2009-11-01,1
2009-11-11,1
2009-12-25,1
2010-01-01,1
2010-04-05,1
2010-05-01,1
2010-05-08,1
2010-05-13,1
2010-05-24,1
2010-07-14,1
2010-08-15,1
2010-11-01,1
2010-11-11,1
2010-12-25,1
2011-01-01,1
2011-04-25,1
2011-05-01,1
2011-05-08,1
2011-06-02,1
2011-06-13,1
2011-07-14,1
2011-08-15,1
2011-11-01,1
2011-11-11,1
2011-12-25,1
2012-01-01,1
2012-04-09,1
2012-05-01,1
2012-05-08,1
2012-05-17,1
2012-05-28,1
2012-07-14,1
2012-08-15,1
2012-11-01,1
2012-11-11,1
2012-12-25,1
2013-01-01,1
2013-04-01,1
2013-05-01,1
2013-05-08,1
2013-05-09,1
2013-05-20,1
2013-07-14,1
2013-08-15,1
2013-11-01,1
2013-11-11,1
2013-12-25,1
2014-01-01,1
2014-04-21,1
2014-05-01,1
2014-05-08,1
2014-05-29,1
2014-06-09,1
2014-07-14,1
2014-08-15,1
2014-11-01,1
2014-11-11,1
2014-12-25,1
2015-01-01,1
2015-04-06,1
2015-05-01,1
2015-05-08,1
2015-05-14,1
2015-05-25,1
2015-07-14,1
2015-08-15,1
2015-11-01,1
2015-11-11,1
2015-12-25,1
2016-01-01,1
2016-03-28,1
2016-05-01,1
2016-05-05,1
2016-05-08,1
2016-05-16,1
2016-07-14,1
2016-08-15,1
2016-11-01,1
2016-11-11,1
2016-12-25,1
2017-01-01,1
2017-04-17,1
2017-05-01,1
2017-05-08,1
2017-05-25,1
2017-06-05,1
2017-07-14,1
2017-08-15,1
2017-11-01,1
2017-11-11,1
2017-12-25,1
2018-01-01,1
2018-04-02,1
2018-05-01,1
2018-05-08,1
2018-05-10,1
2018-05-21,1
2018-07-14,1
2018-08-15,1
2018-11-01,1
2018-11-11,1
2018-12-25,1
2019-01-01,1
2019-04-22,1
2019-05-01,1
2019-05-08,1
2019-05-30,1
2019-06-10,1
2019-07-14,1
2019-08-15,1
2019-11-01,1
2019-11-11,1
2019-12-25,1
2020-01-01,1
2020-04-13,1
2020-05-01,1
2020-05-08,1
2020-05-21,1
2020-06-01,1
2020-07-14,1
2020-08-15,1
2020-11-01,1
2020-11-11,1
2020-12-25,1
2021-01-01,1
2021-04-05,1
2021-05-01,1
2021-05-08,1
2021-05-13,1
2021-05-24,1
2021-07-14,1
2021-08-15,1
2021-11-01,1
2021-11-11,1
2021-12-25,1
2022-01-01,1
2022-04-18,1
2022-05-01,1
2022-05-08,1
2022-05-26,1
2022-06-06,1
2022-07-14,1
2022-08-15,1
2022-11-01,1
2022-11-11,1
2022-12-25,1
2023-01-01,1
2023-04-10,1
2023-05-01,1
2023-05-08,1
2023-05-18,1
2023-05-29,1
2023-07-14,1
2023-08-15,1
2023-11-01,1
2023-11-11,1
2023-12-25,1
2024-01-01,1
2024-04-01,1
2024-05-01,1
2024-05-08,1
2024-05-09,1
2024-05-20,1
2024-07-14,1
2024-08-15,1
2024-11-01,1
2024-11-11,1
2024-12-25,1
